idDepartamento,departamento
0,Magdalena
1,Cundinamarca
2,Norte De Santander
3,Meta
4,Caldas
5,Bolivar
6,Vaupes
7,Vichada
8,Valle Del Cauca
9,Tolima
10,Antioquia
11,Afganistan
12,Putumayo
13,Arauca
14,Cesar
15,Choco
16,Atlantico
17,Caqueta
18,Santander
19,Guaviare
20,Chocó
21,Bogotá D.C.
22,Boyacá
23,Trinidad y Tobago
24,Boyacá 
25, Tolima
26, Casanare
27, Antioquia
28, Magdalena
29, Huila
30, Meta
31, Atlántico
32,San Andres Islas
33,Casanare
34,Vaupés
35,Norte de Santander
36,Boyaca
37,Cauca
38,Antioquía
39,Panama
40,Guajira
41,Mitú
42,Valle del Cauca
43,Quindío
44, Santander
45, Valle del Cauca
46, Cesar
47, Antioquia 
48, Vichada
