idMunicipio,municipio
0,Cienaga
1,Bogotá
2,Tibu
3,Vista Hermosa
4,Manizales
5,Chia
6,Mompox
7,Mitu
8,Cumaribo
9,Santa Marta
10,San Jose De Cananari
11,Aeródromo El Convento Base Principal ARFA
12,Buga
13,Espinal
14,San Andres De Cuerguia
15,Cartagena
16,Maymana
17,Puerto Trujillo
18,Lerida
19,Puerto Leguizamo
20,Apiay
21,Arauca
22,San Martín
23,Quibdo
24,Puerto Colombia
25,Fuente De Oro
26,Apartado
27,Villa Garzon
28,Villavicencio
29,Mariquita
30,Alvarado
31,Araracuara
32,Fix Vulam
33,Rionegro
34,Veracuz
35,Campo Alegre
36,Barrancabermeja
37,Carepa
38,Pizarro
39,Puerto Carreño
40,Candelaria
41,Palmira
42,Sopo
43,Medellín
44,Cartago
45,La Uribe
46,San Jose Del Guaviare
47,Remedios
48,Tulua
49,Amagá
50,Bahía Solano
51,Bogotá D.C.
52,Paipa
53,FL370
54,FL450_
55,El Bagre
56,AD. Guaymaral
57,Paratebueno
58,Orihueca
59,Flandes
60,Yopal
61,Ciénaga
62,Neiva
63,Barranquilla
64,San Antonio De Prado
65,Guacar
66,San Andres Islas
67,Malaga
68,Chaparral
69,Aguazul
70,Guerima
71,Cercanias Roldanillo
72,Calamar
73,Cabuyaro
74,Bosconia
75,Aeródromo Providencia
76,Chía
77,El Alto
78,Urrao
79,Tipacoque
80,Argelia
81,Puerto Wilches
82,Guapi
83,Villanueva
84,Bello
85,San Alberto
86,San Carlos De Guaroa
87,Turbo
88,El Zulia
89,Buritica
90,San Francisco
91,Panama
92,Puerto Bolivar
93,Bajo Baudó
94,Mitú
95,Riohacha
96,Teorama
97,Sevilla
98,Caldono Estación Policía Municipio Caldono
99,El Plato
100,Guamo
101,Villagarzón
102,Orito
103,Venadillo
104,Anori
105,San Gil
106,Jurado
107,Comoro
108,Rozo
109,Barranca De Upia
110,Piedecuesta
111,Calima
112,Pto. Corroncho
113,San Vicente de Chucurí
114,Puerto Gaitán
115,Buenos Aires
116,Alto Baudó
117,San Luis de Palenque
118,Cajicá
119,Boavita
120,Yumbo
121,San Pedro de Milagros
122,Acandí
123,Armenia
124,Pueblo Nuevo
125,Aguachica
126,Caldas
127,San Carlos de Guaroa
128,Puerto López
129,San José del Guaviare
130,Sitionuevo
131,Fredonia
132,Orocué
133,Obando
134,Becerril
135,La Unión
